English Name,CN Translation (中文翻译),Gender,The first time this translation was adopted,Translated by,Comments / Brief explanation,Affiliated Superpower,Affiliated Organization(s),Tags
Nikolas Glass,尼古拉斯·格拉斯,,3308/4/13,ImperiusKang,,,,
Conrad Sterling,康拉德·斯特林,,3308/4/26,,Vox Galactica 政治记者,,Vox Galactica,Reporter
Jonathon Forester,乔纳森·福雷斯特,,3308/5/26,,戈尔康达号世代飞船前船长,,None,
Edmund Mahon,艾德蒙德·马鸿,,3308/7/1,ImperiusKang,联盟首相,Alliance,,
Felicia Winters,菲利西亚·温特斯,F,3308/7/1,ImperiusKang,"影子总统
注：由“菲利斯亚·温特斯”修订为“菲利西亚·温特斯”",Federation,,
Pranav Antal,普瑞内弗·安东,,3308/7/1,ImperiusKang,Pranav Antal大师为乌托邦（Utopia）运动的领袖,Utopia,,
Morag Halloran,莫拉格·哈洛伦,,3308/7/7,ImperiusKang,,,,
Ethan Takahashi,伊桑·高桥,,3308/7/11,ImperiusKang,,,,
Yuri Grom,尤里·格罗姆,,3308/7/15,ImperiusKang,,,,
Jasmina Halsey,杰斯米娜·哈尔西,,3308/7/15,ImperiusKang,,,,
Alba Tesreau,阿尔巴·泰斯瑞尔,F,3308/7/27,ImperiusKang,宙斯盾前研究主管,,AEGIS,
Torben Rademaker,托本·拉德马克,,3308/7/25,ImperiusKang,Azimuth战略运营主管 (注：救赎死后升任CEO),,Azimuth,
Caleb Wycherley,凯莱布·威切利,,3308/7.27,,,,,
Maxim Lagunov,马克西姆·拉古诺夫,,3308/8/4,ImperiusKang,“光辉前景”号巨型飞船的指挥官,,,
Ernesto Rios,埃内斯托·里奥斯,,,,卡拉狄加之声的战地记者,,,Reporter
Heimar Borichev,海马·鲍里彻夫,M,,,君主报副主编,,,
Tayo Maikori,塔约·麦克利,,3308/8/12,ImperiusKang,联邦舰队上将,,,
Denton Patreus,丹顿·帕特瑞斯,,3308/8/12,ImperiusKang,某位参议员,,,
Nakato Kaine,纳卡托·凯恩,,3308/7/1,ImperiusKang,联盟议会委员,,,
Simguru Pranav Antal,西格鲁·派瑞娜·安东,,3308.7.1,ImperiusKang,,,,
Faisal Sacranie,费萨尔·赛克拉尼,,3308/7/14,ImperiusKang,,,,
Jade Sanderlyn,杰德·森德琳,,3308/7/13,ImperiusKang,Vox Galactica 记者-我是《卡拉狄加之声》的杰德·桑德林。出门在外，记得注意安全。,,,Reporter
Joy Senne,乔·森尼,F,3308/7/13,ImperiusKang,,,,
Ram Tah,拉姆·达,,3308/8/5,ImperiusKang,,,,
Marcus Mercer,马库斯·默瑟,,3308/8/15,ImperiusKang,,,,
Jameelah Griffin,杰姆艾勒·格里芬,,3308/8/16,ImperiusKang,,,,
